time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1726	1.33886	5.18589	0.223449	0.19366	radar	4.74232	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3978	1.42128	5.15642	0.245961	0.209828	lidar	1.2632	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6309	1.50674	5.08014	0.270225	0.229897	radar	4.09505	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8572	1.54013	5.04927	0.266545	0.211864	lidar	1.28289	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1217	1.59167	5.08617	0.267114	0.198416	radar	1.85951	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4	1.63908	5.12168	0.264381	0.182325	lidar	1.88283	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6318	1.69744	5.07885	0.271367	0.181041	radar	0.903043	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8621	1.76287	5.06082	0.280068	0.180855	lidar	0.374702	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1167	1.85232	5.11132	0.29504	0.186311	radar	1.39246	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3596	1.88212	5.09386	0.283507	0.160988	lidar	0.694016	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6147	1.94287	5.13339	0.283658	0.149511	radar	0.982225	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.815	2.07724	5.10139	0.324413	0.190453	lidar	3.3458	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0802	2.18335	5.18515	0.33923	0.19319	radar	3.56055	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2832	2.32467	5.15847	0.37827	0.229235	lidar	2.55638	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4646	2.47106	5.05907	0.423977	0.276823	radar	10.8677	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7136	2.58657	5.08699	0.439666	0.278688	lidar	0.853857	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9333	2.70064	5.06826	0.457903	0.285279	radar	0.212629	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1615	2.8537	5.09173	0.489309	0.305585	lidar	0.613508	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4106	2.96212	5.15164	0.49035	0.282597	radar	1.54135	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.618	3.03554	5.10105	0.486168	0.261437	lidar	2.22786	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8485	3.18734	5.15574	0.508558	0.268423	radar	3.85007	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0552	3.3792	5.17767	0.55269	0.304892	lidar	1.15069	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2664	3.54563	5.16791	0.584507	0.328171	radar	2.52441	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4795	3.73249	5.1967	0.618799	0.34904	lidar	0.685419	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6913	3.86709	5.18471	0.628719	0.3404	radar	0.968032	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9131	4.01019	5.19108	0.638472	0.331639	lidar	0.23163	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1087	4.17503	5.1515	0.666614	0.352754	radar	1.7835	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3063	4.36901	5.17524	0.697884	0.36849	lidar	0.392603	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5163	4.5329	5.19096	0.71063	0.360234	radar	0.650488	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
