time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0.001	0.001	0	0	0	lidar	0	0	0	0	0	0	0
1477010443349642	0.346452	-0.346218	0	0	0	radar	2.06614	0	0	0	0	0	0
1477010444349642	1.52576	-0.124382	0.834714	1.38778e-17	-2.77556e-17	lidar	1.68566	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.61965	0.0183818	1.75101	-0.0611341	-0.0339082	radar	5.40023	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.87599	-0.130509	2.21179	-0.133444	-0.0787917	lidar	1.22953	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.94773	0.0710001	2.55528	0.208236	0.144722	radar	4.59281	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.84905	0.415055	3.28204	0.153483	0.171855	lidar	1.05521	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.76304	0.440442	2.82838	0.196925	0.21899	radar	1.80743	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.0686	0.596218	2.97196	-0.158378	-0.211532	lidar	0.32443	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03464	0.663571	2.86528	-0.106902	-0.179947	radar	1.1842	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5625	1.65612	2.94463	0.618563	0.351739	lidar	0.985934	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.5385	1.62	2.92718	0.595826	0.339223	radar	0.499641	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.6022	2.33341	2.24401	0.36666	-0.0257075	lidar	0.929262	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6334	2.31288	2.54549	0.318839	-0.104516	radar	1.18359	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6028	2.8997	3.41082	-0.0216059	-0.255126	lidar	1.89065	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5325	2.88113	3.06948	-0.0560041	-0.319986	radar	1.20665	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	19.0145	3.69278	2.81321	0.352571	0.139713	lidar	0.808214	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0803	3.71641	2.72667	0.398248	0.184305	radar	1.35479	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3231	4.73115	2.88508	0.454112	0.101223	lidar	0.0899026	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3819	4.74103	2.99909	0.436055	0.0799007	radar	0.792964	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0613	5.56847	3.28363	0.191776	-0.126933	lidar	0.394357	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1621	5.59879	3.28524	0.171068	-0.143622	radar	3.0062	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
1477010454349642	26.6095	6.95219	3.20618	0.613258	0.229156	lidar	0.477925	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
1477010454349642	26.5964	6.94564	3.28435	0.593406	0.199428	radar	0.0743097	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
1477010455349642	29.564	8.08463	3.56004	0.250807	-0.153517	lidar	0.811426	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
1477010455349642	29.5425	8.07505	3.27939	0.237809	-0.169182	radar	0.349914	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
1477010456349642	31.9456	9.86852	3.25043	0.813849	0.308773	lidar	0.764826	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
1477010456349642	31.9014	9.84548	3.28504	0.787543	0.273259	radar	0.680846	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
1477010457349642	34.6123	10.7189	2.60105	0.213282	-0.275388	lidar	1.52177	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
1477010457349642	34.7174	10.7716	3.00309	0.218805	-0.243994	radar	2.7726	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
1477010458349642	37.1391	12.077	3.0448	0.597075	0.155218	lidar	0.542474	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
1477010458349642	37.2175	12.1009	3.24583	0.580204	0.121826	radar	1.54406	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
1477010459349642	40.2986	13.4574	3.80735	0.266316	-0.162547	lidar	1.14001	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
1477010459349642	40.2245	13.4272	3.29336	0.237066	-0.207896	radar	1.64998	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459
1477010460349642	42.7679	14.8204	3.27766	0.582985	0.148278	lidar	0.42535	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938
1477010460349642	42.7439	14.8135	3.32951	0.569952	0.130349	radar	0.192379	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938
1477010461349642	45.3433	16.5464	3.63577	0.576583	0.0490685	lidar	0.253565	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701
1477010461349642	45.384	16.5609	3.43712	0.599982	0.111356	radar	0.906726	45.649	16.5213	45.4265	16.3307	2.64546	1.29701
1477010462349642	48.1528	17.2927	3.20399	0.153294	-0.244664	lidar	0.484164	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832
1477010462349642	48.126	17.2815	3.0144	0.132647	-0.280547	radar	0.260564	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832
1477010463349642	50.6179	19.0535	2.99159	0.868153	0.375204	lidar	1.53277	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454
1477010463349642	50.6012	19.0331	3.21058	0.773952	0.237868	radar	0.387477	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454
1477010464349642	53.7054	19.9065	3.03263	0.0516894	-0.393258	lidar	1.89521	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716
1477010464349642	53.6722	19.8944	2.98547	0.057461	-0.391465	radar	0.298889	53.5277	19.862	53.3577	19.9486	2.59372	1.07716
1477010465349642	56.0412	21.0746	2.62144	0.511066	0.154552	lidar	1.32281	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022
1477010465349642	56.0149	21.0569	2.76179	0.466671	0.10581	radar	0.446426	55.867	20.985	55.9669	20.9874	2.56561	0.978022
1477010466349642	58.6461	21.7835	3.04077	0.130197	-0.180922	lidar	0.517554	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205
1477010466349642	58.6469	21.7851	3.03876	0.130235	-0.181382	radar	0.012742	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205
1477010467349642	60.8801	22.7796	2.78508	0.461022	0.145389	lidar	0.458926	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031
1477010467349642	60.8537	22.7679	2.80554	0.448768	0.133978	radar	0.229742	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031
1477010468349642	63.3716	23.4107	2.94434	0.148566	-0.144384	lidar	0.327049	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987
1477010468349642	63.4537	23.4373	2.78384	0.103381	-0.201017	radar	2.10045	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987
1477010469349642	66.3138	23.9864	3.32306	0.27611	0.0405126	lidar	0.926163	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655
1477010469349642	66.2128	23.9563	2.60551	0.268291	0.00362372	radar	2.77772	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655
1477010470349642	68.264	24.3604	2.55685	0.195524	-0.0447825	lidar	0.0151716	68.262	24.3582	68.4273	24.4824	2.30293	0.385623
1477010470349642	68.3507	24.3919	2.65864	0.205257	-0.0361969	radar	1.98419	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623
1477010471349642	70.815	24.88	2.94246	0.230814	0.00338199	lidar	0.206888	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395
1477010471349642	70.7774	24.8648	2.49497	0.208974	-0.0393971	radar	0.651774	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395
1477010472349642	72.8923	24.7202	2.49994	-0.159197	-0.245649	lidar	0.143919	72.8923	24.7135	72.9675	25.025	2.13584	0.150292
1477010472349642	72.9414	24.737	2.52108	-0.15827	-0.25212	radar	0.677104	73.0732	25.0343	72.9675	25.025	2.13584	0.150292
1477010473349642	75.0028	25.2439	2.17135	0.312049	0.197393	lidar	0.863933	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626
1477010473349642	74.9907	25.2401	2.1438	0.308821	0.1953	radar	0.0354643	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626
1477010474349642	77.1127	24.9471	2.2484	-0.361923	-0.346978	lidar	0.987105	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978
1477010474349642	77.1364	24.953	2.22513	-0.382804	-0.377196	radar	0.182697	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978
1477010475349642	79.0979	25.0146	1.87996	0.0751128	0.15376	lidar	1.42981	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607
1477010475349642	79.1089	25.0176	1.89625	0.0807638	0.158481	radar	0.0298801	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607
1477010476349642	80.8031	24.8747	2.01725	-0.0370612	-0.0132973	lidar	0.114767	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536
1477010476349642	80.8481	24.8807	1.81982	-0.0910598	-0.106117	radar	1.24696	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536
1477010477349642	82.6028	24.6367	2.20202	-0.10238	-0.0450375	lidar	0.265498	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012
1477010477349642	82.5681	24.6223	1.92087	-0.197443	-0.208015	radar	0.546787	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012
1477010478349642	84.1658	24.5417	1.93605	-0.0100115	0.0319763	lidar	0.241223	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444
1477010478349642	84.1593	24.5442	1.79052	-0.0358769	-0.0252112	radar	0.213643	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444
1477010479349642	85.6393	23.8199	1.85675	-0.540973	-0.316002	lidar	0.302188	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006
1477010479349642	85.6967	23.8369	1.94205	-0.509949	-0.285692	radar	0.843715	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006
1477010480349642	86.9533	23.5056	1.2951	-0.312424	-0.00245929	lidar	0.793141	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654
1477010480349642	87.0688	23.54	1.39784	-0.2521	0.0292239	radar	3.71884	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654
1477010481349642	88.78	22.7943	2.37474	-0.409635	-0.0816663	lidar	1.37144	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514
1477010481349642	88.6983	22.7562	2.15306	-0.630051	-0.367001	radar	1.32757	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514
1477010482349642	89.5363	22.2705	0.783848	-0.704158	-0.224305	lidar	2.41617	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904
1477010482349642	89.6251	22.2723	1.04002	-0.563449	-0.000753143	radar	1.55557	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904
1477010483349642	90.4979	21.6678	1.32574	-0.480806	0.0534452	lidar	0.141372	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241
1477010483349642	90.5742	21.6863	1.40371	-0.410835	0.0889097	radar	1.72739	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241
1477010484349642	91.7096	21.1157	1.57375	-0.30895	0.0983281	lidar	0.0425866	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964
1477010484349642	91.7438	21.124	1.42911	-0.421957	-0.113811	radar	2.42978	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964
1477010485349642	92.8525	20.9403	1.34732	-0.080604	0.156307	lidar	0.31516	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443
1477010485349642	92.9032	20.9683	1.17639	-0.0603277	0.106624	radar	2.73498	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443
1477010486349642	93.4979	20.2483	0.681038	-0.793302	-0.388218	lidar	1.46123	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919
1477010486349642	93.5816	20.2924	1.02925	-0.560696	-0.103576	radar	1.77209	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919
1477010487349642	95.2429	19.6519	2.42706	0.0885134	0.352332	lidar	3.97141	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439
1477010487349642	95.0171	19.6566	1.49373	-0.092432	0.147662	radar	9.297	94.494	19.8854	94.8209	20.01	0.893308	-0.497439
1477010488349642	95.5356	19.6989	0.795686	0.123016	0.185703	lidar	0.866084	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816
1477010488349642	95.5466	19.7005	0.837007	0.126455	0.188804	radar	0.0267911	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816
1477010489349642	96.2607	19.2097	0.786196	-0.768531	-0.435505	lidar	1.48758	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589
1477010489349642	96.3129	19.2426	1.00692	-0.586882	-0.248832	radar	0.790187	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589
1477010490349642	97.478	18.7198	1.76835	-0.191728	0.124151	lidar	1.5652	97.5286	18.727	97.45	18.506	0.868716	-0.503009
1477010490349642	97.4056	18.7179	1.44967	-0.363985	-0.120337	radar	1.33091	97.5333	18.1735	97.45	18.506	0.868716	-0.503009
1477010491349642	98.2216	18.3675	1.14533	-0.340177	-0.0434325	lidar	0.134606	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023
1477010491349642	98.2328	18.3727	1.06533	-0.372623	-0.109862	radar	0.351087	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023
1477010492349642	99.033	17.3803	1.44035	-1.09577	-0.461057	lidar	0.613074	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
